"Guid","Refs"
"0000000000000000e000000000000000","470"
"a97c105638bdf8b4a8650670310a4cd3","214"
"311925a002f4447b3a28927169b83ea6","53"
"ca9f5fa95ffab41fb9a615ab714db018","44"
"a79441f348de89743a2939f4d699eac1","30"
"0000000000000000f000000000000000","28"
"fe87c0e1cc204ed48ad3b37840f39efc","18"
"9dfc825aed78fcd4ba02077103263b40","17"
"94a070d33e408384bafc1dea4a565df9","14"
"5a2a534753fbdb44e96c3c78b5a6999d","14"
"d6dae50ee9e1bfa4db75f19f99355220","14"
"ff2cbab5da58bf04d82c5f34037ed123","14"
"e823cd5b5d27c0f4b8256e7c12ee3e6d","14"
"073797afb82c5a1438f328866b10b3f0","13"
"0cd44c1031e13a943bb63640046fad76","12"
"dc42784cf147c0c48a680349fa168899","12"
"77774d9009bb81447b048c907d4c6273","10"
"e6e9a19c3678ded42a3bc431ebef7dbd","10"
"19349a0f9a7ed4c48a27445bcf92e5e1","10"
"ce09d4a80b88c5a4eb9768fab4f1ee00","10"
"44fc62292b65ab04eabcf310e799ccf6","10"
"de02b375720b5c445afe83cd483bedf3","10"
"15d0c3709176029428a0da2f8cecf0b5","10"
"a89bee29cffa951418fc1e2da94d1959","10"
"cf852408f2e174538bcd9b7fda1c5ae7","10"
"573620ae32aec764abd4d728906d2587","10"
"93446b5c5339d4f00b85c159e1159b7c","10"
"53626a513ea68ce47b59dc1299fe3959","10"
"04c410c9937594faa893a11dceb85f7e","10"
"d104b2fc1ca6445babb8e90b0758136b","10"
"3f6c848ca3d7bca4bbe846546ac701a1","10"
"e3d24661c1e055f45a7560c033dbb837","10"
"f9ee4ed84c1d10c49aabb9b210b0fc44","10"
"33be2e9a5506b2843bdb2bdff9cad5e1","7"
"73fe53b428c5b3440b7e87ee830b608a","7"
"a679dba8ec4d9ce45884a270b0e22dda","7"
"98e3d58cae7210c4786f67f504c9e899","7"
"3923900e2b41b5e47bc25bfdcbcdc9e6","7"
"20be25aac4e22ee49a7db76fb3df6de2","7"
"3302065f671a8450b82c9ddf07426f3a","7"
"56a77a3e8d64f47b6afe9e3c95cb57d5","7"
"db8bd7436dc2c5f4c92655307d198381","7"
"cb76dd40fa7654f9587f6a344f125c9a","7"
"e32226222ff144b24bf3a5a451de54bc","7"
"4d6d5de35fa45ef4a92119397a045cc9","7"
"4e034cc8ea2635c4e9f063e5ddc7ea7a","7"
"2d70cd6be91bd7843a39a54b51c15b13","7"
"a2eaeefdac4637a44b734e85b7be9186","7"
"56641cb88dcb31a4398a4997ef7a7a8c","7"
"8670f7ce4b60cef43bed36148aa1b0a2","7"
"1ad53a96b58d3c3488dde4f14db1aaeb","7"
"1b95b5dcf48d1914c9e1e7405c7660e3","7"
"c06cc21c692f94f5fb5206247191eeee","7"
"0849e84e3d62649e8882e9d6f056a017","7"
"36f118343fc974119bee3d09e2111500","7"
"fe4f13c1004a07d4ea1e30bfd0326d9e","7"
"dd77ffd079630404e879388999033049","7"
"1097e90e1306e26439701489f391a6c0","7"
"f0b67500f7fad3b4c9f2b13e8f41ba6e","7"
"654c582f7f8a5a14dbd7d119cbde215d","7"
"562b7ae4f629f144aa97780546fce7c6","7"
"e7857e9d0c934dc4f83f270f8447b006","7"
"c49e63ed1bbcb334780a3bd19dfed403","7"
"9930fb4528622b34687b00bbe6883de7","7"
"5cdee82a77d13994f83b8fdabed7c301","7"
"d1f1048909d55cd4fa1126ab998f617e","7"
"51eee22c2a633ef4aada830eed57c3fd","7"
"fd2fd78b392986e42a12df2177d3b89c","7"
"bd9e8c758250ef449a4b4bfaad7a2133","7"
"510a2f57334933e4a8dbabe4c30204e4","7"
"b4db8180660810945bf8d55ab44352ad","7"
"e8ee25143a34b8c4388709ea947055d1","7"
"63eaba0ebfb82cc43bde059b4a8c65f6","7"
"5e7134d6e63e0bc47a1dd2669cedb379","7"
"2aed67ad60045d54ba3a00c91e2d2631","7"
