"Branch","Kind","Path","SizeKB","GameObjects","PrefabInstances","MonoBehaviours"
"ChegaComJhon","Humana","Scenes\bla.unity","32,13","8","0","6"
"ChegaComJhon","Humana","Scenes\CenaDoCT.unity","19,95","5","0","7"
"ChegaComJhon","Humana","Scenes\ServerHub.unity","29,09","10","0","14"
"ChegaComJhon","Editor/Template","Settings\Scenes\URP2DSceneTemplate.unity","9,65","2","0","2"
"ChegaComJhon","Editor/Template","_Recovery\0 (1).unity","24,05","6","0","3"
"ChegaComJhon","Editor/Template","_Recovery\0 (2).unity","37,94","9","0","2"
"ChegaComJhon","Editor/Template","_Recovery\0 (3).unity","37,94","9","0","2"
"ChegaComJhon","Editor/Template","_Recovery\0 (4).unity","37,94","9","0","2"
"ChegaComJhon","Editor/Template","_Recovery\0 (5).unity","44,09","13","0","20"
"ChegaComJhon","Editor/Template","_Recovery\0.unity","16,77","4","0","2"
"ColegaTeste","Humana","Decoracao_Background.unity","5,86","1","0","0"
"ColegaTeste","Humana","PlatformerSet1\Scene\Demo.unity","12,07","4","0","0"
"ColegaTeste","Humana","ProjetoPlayerJhonas\Scenes\bla.unity","34,3","8","0","1"
"ColegaTeste","Humana","ProjetoPlayerJhonas\Scenes\Cena do JHON.unity","21,19","5","0","5"
"ColegaTeste","Humana","ProjetoPlayerJhonas\Scenes\CenaDoCT.unity","13,07","3","0","3"
"ColegaTeste","Editor/Template","ProjetoPlayerJhonas\Settings\Scenes\URP2DSceneTemplate.unity","9,99","2","0","2"
"ColegaTeste","Editor/Template","ProjetoPlayerJhonas\_Recovery\0 (1).unity","24,05","6","0","3"
"ColegaTeste","Editor/Template","ProjetoPlayerJhonas\_Recovery\0 (2).unity","37,94","9","0","2"
"ColegaTeste","Editor/Template","ProjetoPlayerJhonas\_Recovery\0 (3).unity","37,94","9","0","2"
"ColegaTeste","Editor/Template","ProjetoPlayerJhonas\_Recovery\0 (4).unity","37,94","9","0","2"
"ColegaTeste","Editor/Template","ProjetoPlayerJhonas\_Recovery\0.unity","16,77","4","0","2"
"ColegaTeste","Editor/Template","ProjetoTesteAssets\Settings\Scenes\URP2DSceneTemplate.unity","9,99","2","0","2"
"ColegaTeste","Humana","Scenes\CenaDoColega.unity","7313,25","41","0","5"
"ColegaTeste","Humana","Scenes\CenaDoCT.unity","56,31","7","0","3"
"ColegaTeste","Humana","Scenes\Mapa_Base.unity","5,87","1","0","0"
"ColegaTeste","Humana","Scenes\SampleScene.unity","3906,7","11","0","6"
"ColegaTeste","Editor/Template","Settings\Scenes\URP2DSceneTemplate.unity","9,65","2","0","2"
"ColegaTeste","Editor/Template","_Recovery\0.unity","170,22","22","0","3"
"BranchPedrao","Humana","Scenes\bla.unity","37,94","9","0","2"
"BranchPedrao","Humana","Scenes\Cena do JHON.unity","21,19","5","0","5"
"BranchPedrao","Humana","Scenes\CenaDoCT.unity","13,07","3","0","3"
"BranchPedrao","Humana","Scenes\Ceta big Peter.unity","37,94","9","0","2"
"BranchPedrao","Editor/Template","Settings\Scenes\URP2DSceneTemplate.unity","9,65","2","0","2"
"BranchPedrao","Editor/Template","_Recovery\0 (1).unity","24,05","6","0","3"
"BranchPedrao","Editor/Template","_Recovery\0 (2).unity","37,94","9","0","2"
"BranchPedrao","Editor/Template","_Recovery\0 (3).unity","37,94","9","0","2"
"BranchPedrao","Editor/Template","_Recovery\0 (4).unity","37,94","9","0","2"
"BranchPedrao","Editor/Template","_Recovery\0.unity","16,77","4","0","2"
