"Branch","Path","Extension","SizeKB","HasMeta","TextureType","SpriteMode","PixelsPerUnit","IsSprite"
"ChegaComJhon","Sprites\Interface\Multiplayer\difficulty_sprites.png",".png","184,7","True","8","2","100","True"
"ChegaComJhon","Sprites\Interface\Multiplayer\spr_buttons.png",".png","794,84","True","8","2","100","True"
"ChegaComJhon","Sprites\Interface\Multiplayer\spr_players.png",".png","16,1","True","8","2","100","True"
"ChegaComJhon","Sprites\Interface\Multiplayer\spr_rooms_kind.png",".png","1052,09","True","8","2","100","True"
"ChegaComJhon","Sprites\Interface\Multiplayer\spr_serverhub.png",".png","194,37","True","8","2","100","True"
"ChegaComJhon","Sprites\Interface\Multiplayer\spr_title.png",".png","248,49","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\IDLE-MASC.gif",".gif","45,07","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\IDLE.gif",".gif","67,24","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\SURGE.gif",".gif","60,96","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\DISSPAR\dissipar.gif",".gif","49,45","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\DISSPAR\DISSPAR_0001.png",".png","4,16","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\DISSPAR\DISSPAR_0002.png",".png","5,12","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\DISSPAR\DISSPAR_0003.png",".png","6,49","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\DISSPAR\DISSPAR_0004.png",".png","9,41","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\DISSPAR\DISSPAR_0005.png",".png","8,43","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\DISSPAR\DISSPAR_0006.png",".png","10,8","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\DISSPAR\DISSPAR_0007.png",".png","8,51","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\DISSPAR\DISSPAR_0008.png",".png","11,14","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\DISSPAR\DISSPAR_0009.png",".png","9,69","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG\PNG_0001.png",".png","14","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG\PNG_0002.png",".png","14,64","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG\PNG_0003.png",".png","14,88","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG\PNG_0004.png",".png","14,26","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG\PNG_0005.png",".png","13,71","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG\PNG_0006.png",".png","14,33","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG\PNG_0007.png",".png","14,13","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG\PNG_0008.png",".png","14,35","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG\PNG_0009.png",".png","13,22","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG\PNG_0010.png",".png","14,69","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG\PNG_0011.png",".png","14,87","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-MASC\PNG_0001.png",".png","7,9","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-MASC\PNG_0002.png",".png","11,19","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-MASC\PNG_0003.png",".png","10,34","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-MASC\PNG_0004.png",".png","13,11","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-MASC\PNG_0005.png",".png","11,67","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-MASC\PNG_0006.png",".png","12,77","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-MASC\PNG_0007.png",".png","11,32","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-MASC\PNG_0008.png",".png","12,73","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-MASC\PNG_0009.png",".png","10,01","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0001.png",".png","4,5","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0002.png",".png","4,58","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0003.png",".png","3,75","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0004.png",".png","5,51","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0005.png",".png","4,17","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0006.png",".png","6,04","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0007.png",".png","11,13","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0008.png",".png","12,43","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0009.png",".png","11,03","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0010.png",".png","13,44","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0011.png",".png","11,45","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0012.png",".png","14,58","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Anjo\IDLE\PNG-SURGE\PNG-SURGE_0013.png",".png","11,91","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\attk-1.gif",".gif","42,72","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\preparação.gif",".gif","22,06","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\ATTK\PNG_0001.png",".png","5,52","True","8","2","85","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\ATTK\PNG_0002.png",".png","7,85","True","8","2","85","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\ATTK\PNG_0003.png",".png","10,58","True","8","2","85","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\ATTK\PNG_0004.png",".png","11,98","True","8","2","85","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\ATTK\PNG_0005.png",".png","11,31","True","8","2","85","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\ATTK\PNG_0006.png",".png","13,56","True","8","2","85","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\ATTK\PNG_0007.png",".png","12,33","True","8","2","85","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\ATTK\PNG_0008.png",".png","14,23","True","8","2","85","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\ATTK\PNG_0009.png",".png","9,94","True","8","2","85","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\PNG_0001.png",".png","5,44","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\PNG_0002.png",".png","9,02","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\PNG_0003.png",".png","8,06","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\PNG_0004.png",".png","7,89","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\PNG_0005.png",".png","6,8","True","8","2","95","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\PNG_0006.png",".png","7,62","True","8","2","90","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\PNG_0007.png",".png","5,52","True","8","2","90","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\special-attk-def.gif",".gif","55,49","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\special-attk.gif",".gif","55,48","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\special-attk_0001.png",".png","6,24","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\special-attk_0002.png",".png","13,77","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\special-attk_0003.png",".png","15,56","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\special-attk_0004.png",".png","17,95","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\special-attk_0005.png",".png","14,34","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\special-attk_0006.png",".png","12,39","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\special-attk_0007.png",".png","19,84","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\special-attk_0008.png",".png","18,34","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\attack\PNG\PREPARAÇÃO\special-attk_0009.png",".png","14,01","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\cry\cry_0001.png",".png","5,44","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\cry\cry_0002.png",".png","12,93","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\cry\cry_0003.png",".png","11,19","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\cry\cry_0004.png",".png","12,28","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\cry\cry_0005.png",".png","9,8","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\cry\cry_0006.png",".png","10,84","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\cry\cry_0007.png",".png","10,15","True","8","2","100","True"
"ChegaComJhon","Sprites\Objetos\Boss\cry\cry_0008.png",".png","11,36","True","8","2","100","True"
