"Origin","Name","Path","KB","Hash"
"CT-TESTE atual","Player.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Player.cs","7,88","233CC6B3825811E4B31BDA0F0AB0C8EF5F4E2878AEB66E2DE0E2767A038B099D"
"CT-TESTE atual","FlutuarSuaveUI.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Animacoes\FlutuarSuaveUI.cs","1,5","1167299AF19445A4F36D2C3029EF7626765BAF8C19471AE2C6222F887F1CB79D"
"CT-TESTE atual","PulsarUI.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Animacoes\PulsarUI.cs","1,35","D520E2EB18DCA632ECDB46B0BB6A79BD34348CF38EA290D9A00FBC106B7DCB42"
"CT-TESTE atual","CombatHitbox.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Combate\CombatHitbox.cs","1,24","E0E3040E21A4371558EA0B04E9F7A7DEA0EC729CA6B71F7AB9011B3B3FEFCE6B"
"CT-TESTE atual","Enemy.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Combate\Enemy.cs","4,18","3F2B40FC91B428D1D89EBE393C37C1E58CB8C773A2E3B59F726FB5ADA32D78C9"
"CT-TESTE atual","Entity.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Combate\Entity.cs","3,04","39EE446222CF2AB3D7C36B390CDDD413EE390E2F15BCA76A5236DE737D78C81E"
"CT-TESTE atual","DadosSessaoLocal.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Core\DadosSessaoLocal.cs","0,12","20FE35530961E0D5453646D1F20A68A433D30661BDCBF69883F5A0AFCCA897C9"
"CT-TESTE atual","BlocoColisaoMapa.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Gameplay\BlocoColisaoMapa.cs","0,63","4D57F4ECFEE55A93D9BB394D04F698D5C6DAD52DFA1A8BE91693D6A91E716F25"
"CT-TESTE atual","Movimentacao.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Gameplay\Movimentacao.cs","31,25","7B07D43B893A0FC6AE48AD82AAFBD84E2844AEEC011D069B7F143A426FD7DA81"
"CT-TESTE atual","SerberusAI.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\IA\Boss\SerberusAI.cs","16,07","387E1E603389327289FD6ACB1F371C974523C57AF1962ABF47D0AEC9AA6F1A53"
"CT-TESTE atual","PlayerMobiment.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Legacy\ColegaTeste\PlayerMobiment.cs","1,22","4A68F41320D56000F1EF355CDE97990C2DD347A4D6231873B6A2C29B0B91CD33"
"CT-TESTE atual","AnuncianteHostLAN.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Rede\AnuncianteHostLAN.cs","2,54","2DE6B2B293541C5DEE04EE581CBD901911392DD17713B5F52F7B5AC5F98B3FB9"
"CT-TESTE atual","Client.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Rede\Client.cs","5,3","8F82FCA174ED68916A9A836DC579D888E7A48D72FA3D5815CD3D748BF7164D22"
"CT-TESTE atual","ClientNetworkAnimator.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Rede\ClientNetworkAnimator.cs","0,18","263297A7D680C9792A45BA78F5AAD0BAB764A1667797C36152B2003078C6B724"
"CT-TESTE atual","ClientNetworkTransform.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Rede\ClientNetworkTransform.cs","0,2","89C2ACC0C98E9428CA99A6E5B63B6A97142F2E15109C722989872E8C9F494DA8"
"CT-TESTE atual","ConexaoPendente.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Rede\ConexaoPendente.cs","0,18","C22DB2E84044E1103713CDEB49D6C3C34F373BF23B2BC7995CFD3D624BBF138C"
"CT-TESTE atual","DescobridorHostLAN.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Rede\DescobridorHostLAN.cs","3,4","8A21B581115E0D6D49A0E9DC4A13CF401E4D9AA1582E3E9E0F6076DCC2E6CFDD"
"CT-TESTE atual","GerenciadorNomesRede.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Rede\GerenciadorNomesRede.cs","2,63","A670F29F1F39AD3E8018C4887084EA3B70EC77721943F85014CA68A1D7CFE511"
"CT-TESTE atual","RedeBootstrap.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Rede\RedeBootstrap.cs","2,89","6D093C932FD78100DC1269D85191BE3EB834068FEF3D796B15677E4F56AE1F6F"
"CT-TESTE atual","RedeLanConst.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Rede\RedeLanConst.cs","0,14","4084930146D22AD27992C20A2796634473638B9A4A57B689D75D395F92F62316"
"CT-TESTE atual","ServerHubTela.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\Assets\Scripts\Rede\ServerHubTela.cs","47,09","D660D1F171D4388FAAF38920F45940A7214E04135F44B7E9F73CC89196D4DF37"
"BranchPedrao","CombatHitbox.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\BranchPedrao\Scripts\CombatHitbox.cs","1,24","E0E3040E21A4371558EA0B04E9F7A7DEA0EC729CA6B71F7AB9011B3B3FEFCE6B"
"BranchPedrao","Enemy.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\BranchPedrao\Scripts\Enemy.cs","4,18","3F2B40FC91B428D1D89EBE393C37C1E58CB8C773A2E3B59F726FB5ADA32D78C9"
"BranchPedrao","Entity.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\BranchPedrao\Scripts\Entity.cs","3,04","39EE446222CF2AB3D7C36B390CDDD413EE390E2F15BCA76A5236DE737D78C81E"
"BranchPedrao","Movimentacao.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\BranchPedrao\Scripts\Movimentacao.cs","0,68","61F1019F4E00254BE64EB9244B7D77A25CC794A1727A819F03524E62B4F334F3"
"BranchPedrao","Player.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\BranchPedrao\Scripts\Player.cs","11,26","E9FF6A1F4D59935BB7FF7E267596DFA088B31169AB2ED11583FB1639D9335105"
"ChegaComJhon","ClonesManager.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\ClonesManager.cs","29,58","1C5BC9DF699A9B47C54A5753BFF8CA30D0CB87CD39CDA139E6A8C29175D77E0B"
"ChegaComJhon","ClonesManagerWindow.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\ClonesManagerWindow.cs","9,16","EC60E2CB619A87A8946226551FD604FF6A9F9A39B1CC0EFA6D80D5EA9BDC6059"
"ChegaComJhon","ExternalLinks.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\ExternalLinks.cs","0,68","89D9A9B4FCE53AA0BDE77314FBED75C1471ECF4D58A830FC1E618D2706359C74"
"ChegaComJhon","FileUtilities.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\FileUtilities.cs","0,82","044BDFB172EC26A732D6EC9EF0BD92A278E3EB75B5F60D040B271C227E04C051"
"ChegaComJhon","ParrelSyncProjectSettings.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\ParrelSyncProjectSettings.cs","5,82","96D1674E04B25C4D73A21C3A378086525CA2CBDAF4EF240C967115A19286CFE9"
"ChegaComJhon","Preferences.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\Preferences.cs","8,06","9E27EF864D5750EFFBA1EE714ACF103C4242E9C0D504EBF0D92015F2C03668D0"
"ChegaComJhon","Project.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\Project.cs","3,72","FC4801B01B906F59CDF0CF3E76E287710CDD398332B8AC5C7CE1BD73D365501D"
"ChegaComJhon","UpdateChecker.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\UpdateChecker.cs","2,56","0DDA8B12F563C890C24A4858DCF1DEA5585040912DF9F8B1125C9CD2334BDAAE"
"ChegaComJhon","ValidateCopiedFoldersIntegrity.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\ValidateCopiedFoldersIntegrity.cs","2,75","5E9C6C760DDE922F5ED30D6736385E1AD0C4231769BA5A844F75C3CB1450BD3C"
"ChegaComJhon","EditorQuit.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\AssetModBlock\EditorQuit.cs","0,46","275DB043CD1503FF118D4DF503D38FC0E41E2C40B88EA37741EA5EFCA31DA6F3"
"ChegaComJhon","ParrelSyncAssetModificationProcessor.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\AssetModBlock\ParrelSyncAssetModificationProcessor.cs","1,41","4364EAD75FDF5DE2B3F8603A28CC91309149D718AAA5969C02DA5883429E241B"
"ChegaComJhon","AskFeedbackDialog.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\NonCore\AskFeedbackDialog.cs","3,05","161A7F583474CC2220731EB8815A5694DCCEAFB532FB148A77194A5FD2608F1D"
"ChegaComJhon","OtherMenuItem.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\NonCore\OtherMenuItem.cs","0,71","ECA6325FC1E7CA78C33A0E74569D8D49CAEEFB923195366353CF692716129117"
"ChegaComJhon","Player.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Player.cs","7,88","233CC6B3825811E4B31BDA0F0AB0C8EF5F4E2878AEB66E2DE0E2767A038B099D"
"ChegaComJhon","FlutuarSuaveUI.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Animacoes\FlutuarSuaveUI.cs","1,45","12133F2B5C5A35DEE3B1C76D4E0469CA064FB3F3FC5AEFC0E27A275D8B61BF7A"
"ChegaComJhon","PulsarUI.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Animacoes\PulsarUI.cs","1,29","6E85D8D1A51DD03979AD697A4B5471ADADB93B02CF2D89BEF6B396CB3A27F4F5"
"ChegaComJhon","DadosSessaoLocal.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Core\DadosSessaoLocal.cs","0,12","20FE35530961E0D5453646D1F20A68A433D30661BDCBF69883F5A0AFCCA897C9"
