"Scene","Line","Guid","Property","Raw"
"Assets\Scenes\bla.unity","11","00000000000000000000000000000000","m_SceneGUID","m_SceneGUID: 00000000000000000000000000000000"
"Assets\Scenes\bla.unity","34","0000000000000000e000000000000000","m_SpotCookie","m_SpotCookie: {fileID: 10001, guid: 0000000000000000e000000000000000, type: 0}"
"Assets\Scenes\bla.unity","96","0000000000000000f000000000000000","m_LightingDataAsset","m_LightingDataAsset: {fileID: 20201, guid: 0000000000000000f000000000000000, type: 0}"
"Assets\Scenes\bla.unity","224","a79441f348de89743a2939f4d699eac1","m_Script","m_Script: {fileID: 11500000, guid: a79441f348de89743a2939f4d699eac1, type: 3}"
"Assets\Scenes\bla.unity","349","a97c105638bdf8b4a8650670310a4cd3","m_Materials","- {fileID: 2100000, guid: a97c105638bdf8b4a8650670310a4cd3, type: 2}"
"Assets\Scenes\bla.unity","372","311925a002f4447b3a28927169b83ea6","m_Sprite","m_Sprite: {fileID: 7482667652216324306, guid: 311925a002f4447b3a28927169b83ea6, type: 3}"
"Assets\Scenes\bla.unity","487","a97c105638bdf8b4a8650670310a4cd3","m_Materials","- {fileID: 2100000, guid: a97c105638bdf8b4a8650670310a4cd3, type: 2}"
"Assets\Scenes\bla.unity","510","311925a002f4447b3a28927169b83ea6","m_Sprite","m_Sprite: {fileID: 7482667652216324306, guid: 311925a002f4447b3a28927169b83ea6, type: 3}"
"Assets\Scenes\bla.unity","629","a97c105638bdf8b4a8650670310a4cd3","m_Materials","- {fileID: 2100000, guid: a97c105638bdf8b4a8650670310a4cd3, type: 2}"
"Assets\Scenes\bla.unity","833","a97c105638bdf8b4a8650670310a4cd3","m_Materials","- {fileID: 2100000, guid: a97c105638bdf8b4a8650670310a4cd3, type: 2}"
"Assets\Scenes\bla.unity","987","a97c105638bdf8b4a8650670310a4cd3","m_Materials","- {fileID: 2100000, guid: a97c105638bdf8b4a8650670310a4cd3, type: 2}"
"Assets\Scenes\bla.unity","1010","311925a002f4447b3a28927169b83ea6","m_Sprite","m_Sprite: {fileID: 7482667652216324306, guid: 311925a002f4447b3a28927169b83ea6, type: 3}"
"Assets\Scenes\bla.unity","1125","a97c105638bdf8b4a8650670310a4cd3","m_Materials","- {fileID: 2100000, guid: a97c105638bdf8b4a8650670310a4cd3, type: 2}"
"Assets\Scenes\bla.unity","1148","311925a002f4447b3a28927169b83ea6","m_Sprite","m_Sprite: {fileID: 7482667652216324306, guid: 311925a002f4447b3a28927169b83ea6, type: 3}"
"Assets\Scenes\bla.unity","1361","a97c105638bdf8b4a8650670310a4cd3","m_Materials","- {fileID: 2100000, guid: a97c105638bdf8b4a8650670310a4cd3, type: 2}"
"Assets\Scenes\CenaDoCT.unity","11","00000000000000000000000000000000","m_SceneGUID","m_SceneGUID: 00000000000000000000000000000000"
"Assets\Scenes\CenaDoCT.unity","34","0000000000000000e000000000000000","m_SpotCookie","m_SpotCookie: {fileID: 10001, guid: 0000000000000000e000000000000000, type: 0}"
"Assets\Scenes\CenaDoCT.unity","226","a97c105638bdf8b4a8650670310a4cd3","m_Materials","- {fileID: 2100000, guid: a97c105638bdf8b4a8650670310a4cd3, type: 2}"
"Assets\Scenes\CenaDoCT.unity","249","311925a002f4447b3a28927169b83ea6","m_Sprite","m_Sprite: {fileID: 7482667652216324306, guid: 311925a002f4447b3a28927169b83ea6, type: 3}"
"Assets\Scenes\CenaDoCT.unity","310","a79441f348de89743a2939f4d699eac1","m_Script","m_Script: {fileID: 11500000, guid: a79441f348de89743a2939f4d699eac1, type: 3}"
"Assets\Scenes\CenaDoCT.unity","437","073797afb82c5a1438f328866b10b3f0","m_Script","m_Script: {fileID: 11500000, guid: 073797afb82c5a1438f328866b10b3f0, type: 3}"
"Assets\Scenes\CenaDoCT.unity","522","01614664b831546d2ae94a42149d80ac","m_Script","m_Script: {fileID: 11500000, guid: 01614664b831546d2ae94a42149d80ac, type: 3}"
"Assets\Scenes\CenaDoCT.unity","529","ca9f5fa95ffab41fb9a615ab714db018","m_ActionsAsset","m_ActionsAsset: {fileID: -944628639613478452, guid: ca9f5fa95ffab41fb9a615ab714db018, type: 3}"
"Assets\Scenes\CenaDoCT.unity","530","ca9f5fa95ffab41fb9a615ab714db018","m_PointAction","m_PointAction: {fileID: -1654692200621890270, guid: ca9f5fa95ffab41fb9a615ab714db018, type: 3}"
"Assets\Scenes\CenaDoCT.unity","531","ca9f5fa95ffab41fb9a615ab714db018","m_MoveAction","m_MoveAction: {fileID: -8784545083839296357, guid: ca9f5fa95ffab41fb9a615ab714db018, type: 3}"
"Assets\Scenes\CenaDoCT.unity","532","ca9f5fa95ffab41fb9a615ab714db018","m_SubmitAction","m_SubmitAction: {fileID: 392368643174621059, guid: ca9f5fa95ffab41fb9a615ab714db018, type: 3}"
