"Branch","Path","Commit","Date","Subject"
"remotes/origin/Chega-com-jhon","Assets/Scripts/Gameplay/Movimentacao.cs","bfb8b926042fa2377c77698e371b0e9032decdf7","2026-05-05T09:52:09-03:00","VERSÃO MULTIPLAYER FUNCIONAL COM PLAYER"
"remotes/origin/Chega-com-jhon","Assets/Scripts/Player.cs","75af74a98a8c3b3c740441b2f7185ed718b10803","2026-05-04T19:32:55-03:00","ATUALIZANDO CT-TESTE"
"remotes/origin/Chega-com-jhon","Assets/Animacoes/Player/Player.controller","da07674cf09b9160c036522ad49b1a3fb6e79dc8","2026-05-04T19:26:07-03:00","teeste commit animacao nova"
"remotes/origin/Chega-com-jhon","Assets/Jogador.prefab","bfb8b926042fa2377c77698e371b0e9032decdf7","2026-05-05T09:52:09-03:00","VERSÃO MULTIPLAYER FUNCIONAL COM PLAYER"
"remotes/origin/branch-pedrão","Assets/Scripts/Player.cs","33f010e598a1383b7bb4404cd065dc1c37f4f906","2026-05-11T19:39:14-03:00","Init commit"
"remotes/origin/branch-pedrão","Assets/Scripts/Entity.cs","33f010e598a1383b7bb4404cd065dc1c37f4f906","2026-05-11T19:39:14-03:00","Init commit"
"remotes/origin/branch-pedrão","Assets/Scripts/CombatHitbox.cs","33f010e598a1383b7bb4404cd065dc1c37f4f906","2026-05-11T19:39:14-03:00","Init commit"
"remotes/origin/branch-pedrão","Assets/Animacoes/Player/Player.controller","da07674cf09b9160c036522ad49b1a3fb6e79dc8","2026-05-04T19:26:07-03:00","teeste commit animacao nova"
"remotes/origin/Colega-teste","Assets/Scripts/Player.cs","(nao encontrado)","",""
"remotes/origin/Colega-teste","Assets/Scripts/Gameplay/Movimentacao.cs","(nao encontrado)","",""
"remotes/origin/Colega-teste","Assets/Animacoes/Player/Player.controller","(nao encontrado)","",""
