"Reason","Keep","Removed","Guid","Hash","Size","Ext"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\_Recovery\0 (3).unity","Assets\RecursosUnificados\BranchPedrao\_Recovery\0 (4).unity","967ab8a2fe27a064f87b86d28820b0e4","233D7B91FD0D9DFCCAC25969E36145A324B27B2E914D4410AD8730E7CF5A77DE","38848",".unity"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Assets\DefaultVolumeProfile.asset","Assets\RecursosUnificados\BranchPedrao\DefaultVolumeProfile.asset","871c6fba9fac09b488fda71c9b32fd51","C5DD9BEE1ADD10F9346F3CB9881738BD41C7BB72E76BE68629D835738C574083","19524",".asset"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Scenes\bla.unity","Assets\RecursosUnificados\BranchPedrao\Scenes\Ceta big Peter.unity","365f240e2a7f9b14387fa1a51f46a24a","91D521AA0F622DA60FA6CF1B0FF0ACFAC40AECCEBBECC85CB93074D04FF75C57","38850",".unity"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\dissipar.gif","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\dissipar.gif","c8707bae46550724abb5dc6fa5e83448","647FA4F7394B39129F5E71E7A273B7EA5FE614321A6603B10442E5DF32577545","50640",".gif"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\dissipar.gif","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\dissipar.gif","3d947f92c486b314a9db2acc3add3462","647FA4F7394B39129F5E71E7A273B7EA5FE614321A6603B10442E5DF32577545","50640",".gif"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0001.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\DISSPAR_0001.png","467128a74e6f3c24e80ef1d33d36eb85","2D8DAE719CBD1D26E47A1CA4B946A329F053D91EFCDA7BA7F2AC32987C9884B8","4260",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0002.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\DISSPAR_0002.png","1c728005b277a574f80c95d509e18571","1FC6C87D860591E88CE2ACA0F0197BCC5F1C6F6436950F4A68FB7714C5BEDC03","5246",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0003.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\DISSPAR_0003.png","533e560a5cf737840828b891595c63df","1A5D2BD4FC413E376BBF469DD08C1EEAFFCB5BB26BF21012D60458CD90725DDA","6643",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0004.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\DISSPAR_0004.png","fa28b97880d2ed5448dbe47fdcfacf54","EB65B48E2E971CC216E62C6F670F56E83B7F81FB94BA8497073F895BAF590564","9634",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0005.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\DISSPAR_0005.png","5c81b9372ba74a84fba30e69887ae5cd","E574820DD2268D9292ABE880D6D1F5077465DDCCC3647244371E7DF8718E2077","8633",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0006.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\DISSPAR_0006.png","26ac26a6f3b17cd49826f54a432f3c29","9045A5DAE332C7330B8107A207B751545EEC84473474DE0EF2D1917DA1A64948","11061",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0007.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\DISSPAR_0007.png","86473ecd72e780d488fac5d76e829ed5","A4AB12E8F5731C68EDE6D246EB121F4A26EA47D57405FCE55F6C352B5E8C538C","8718",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0008.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\DISSPAR_0008.png","7469b331436a450429495f5bdabe6cfa","1C0C1EFAF6F2D2CD642493D86B15DD16D36F6EE1FBD39CE71955012CB568D535","11409",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0009.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\DISSPAR_0009.png","3d0986258ddedd1428f5c04938fe872a","55A942088FF723208A1EFA442DDC3F9DD2368DD79246544CAEDE6F657310BBE3","9926",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0001.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\dead\PNG\PNG_0021.png","0cc9ff35e11f1e84a92180f3baddb559","2D8DAE719CBD1D26E47A1CA4B946A329F053D91EFCDA7BA7F2AC32987C9884B8","4260",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\cry\cry_0001.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0006 (2).png","b793a171852ecef44959fdfc4a4821fd","7F650D1CFD6122D27AED0D7714D8453A361F45BF6F889093C3F26364FDF1FE53","5570",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\cry\cry_0002.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0007 (2).png","45c4dfba80bee864ebcb99e39be785e1","BAB10ECF24B5588A37E543C9F7C8776C3C02B505B64684367885359C7D09EF16","13242",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\cry\cry_0003.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0008 (2).png","ff0f6e12c0a5d214ab608251a43de2e4","2A47CB8EE47E5D1BF3676596505312FDEC50C6FCB5A41556C94AB57ED18F94DF","11462",".png"
