"Origin","Path","Name","Ext","Size","Hash"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\InputSystem_Actions.inputactions","InputSystem_Actions.inputactions",".inputactions","41005","1C6CBB519D65ECFE19A29231735B7F54741A20AC1A8AD4F46A18E1BFB28A3C39"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\UniversalRenderPipelineGlobalSettings.asset","UniversalRenderPipelineGlobalSettings.asset",".asset","23234","CF7804C317AFAE02D8D5FB666AB5234CB2DC0100669649259806EAC4C0C27544"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Anjo\Anjo.controller","Anjo.controller",".controller","5844","DDB6C83164B48AA9F380298ACBDB4D36D7C4195CB76AC9F9D13B65A96193DB9A"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Anjo\Exit.anim","Exit.anim",".anim","6318","2678EC402202187CB93966395F955FDE1824213F63CECE744FB2DAD5350385C1"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Anjo\Idle.anim","Idle.anim",".anim","3480","43621B7DEE865F9DC2D90D5F18D42543C287CC92314DB7ED30C35D69155A6AC7"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Anjo\Suger.anim","Suger.anim",".anim","6093","765705C52C802C618B0813FDEF0BA3E8EBF9E7D87A776C767A1A2DDA9CD85865"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\ataque especial.anim","ataque especial.anim",".anim","5300","1300DA1A998E428E0B7D6974FF2279307499ECFDA736C586A48A897B30D087A7"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\Ataque.anim","Ataque.anim",".anim","3501","9CFAC91F52099E1657E7C3E820D6AEBA50D6E2C08AB63BF17D3AEE5FD4DEBDBD"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\Boss.controller","Boss.controller",".controller","21706","F1A16C30A10E4C0BF83003D973B3952E072788139FD015223839B370A52C75B3"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\Cry.anim","Cry.anim",".anim","4702","333E8EEDA8456BE6F003EC7713517CBA7613B26BD549AB1EAF5143BCF8E6035B"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\Idle.anim","Idle.anim",".anim","5114","C48CE4DF455C54A4C08B5997B5D2694779C465B00B7EE3A1F919F765EEA8E16E"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\intro.anim","intro.anim",".anim","7287","F1A52F2C48CE5FF5B21B466A6A7D97CFF8165F07D8445DEB05E304272655486B"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\morte.anim","morte.anim",".anim","7724","F71ED8CE1BC639122CC79F3A2B83007C01710DE847AE45382999B2EE7AA346D1"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\Prep.anim","Prep.anim",".anim","1345","183B88FD352BAFF62245B422C1305C18DB07A9A4D2FC5DCCBE4F2F40135D380B"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\PrepAtaque.anim","PrepAtaque.anim",".anim","3100","50E5C4629A139510F281ADCB03ECB3C8BDBFD85D284B1B673B30AC32986E1FA7"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\PrepRun.anim","PrepRun.anim",".anim","3097","4FAAEA8402B94CA4B47D4ED0A641CB33A88DF577F071A8C26EB9F4496A58DAD3"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\Run.anim","Run.anim",".anim","4300","B908DC4FC92E29A11197106C465388E2C2F7E4B29462252B3F861934CB5D975F"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Boss\wallking.anim","wallking.anim",".anim","4308","04DC180011B7F909F61A211DEC90EDE488A5B9B5EE43E007E051A80BA2AE83B8"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\ataque.anim","ataque.anim",".anim","3087","A980E090131248BFC5C93640356B51F3E15BCB79A6CDB7254478E35E9A01D7D0"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\ataque2.anim","ataque2.anim",".anim","3290","D71144CC81081525358B881037BB56884B590252A33987CEF90A76CEE8120E2A"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\Ataque3.anim","Ataque3.anim",".anim","3089","9267E2AF587BBD86019294CB4F9A5A4BA1530A45272789B4BC802A82E26106EC"
