"Origin","Ext","RemovedFiles","FreedMB"
"ColegaTeste",".png","322","2,777"
"ColegaTeste",".gif","30","1,207"
"ColegaTeste",".anim","29","0,11"
"ColegaTeste",".asset","16","4,469"
"ColegaTeste",".shader","14","0,092"
"ColegaTeste",".unity","9","0,204"
"ColegaTeste",".txt","6","0,005"
"ColegaTeste",".cginc","4","0,013"
"ColegaTeste",".shadergraph","4","1,076"
"ColegaTeste",".inputactions","4","0,159"
"ColegaTeste",".controller","3","0,063"
"ColegaTeste",".ttf","2","0,668"
"ColegaTeste",".mat","2","0,006"
"ColegaTeste",".scenetemplate","2","7,52"
"ColegaTeste",".rar","1","0,059"
"ColegaTeste",".hlsl","1","0,006"
"ColegaTeste",".json","1","0,004"
"ChegaComJhon",".png","320","2,664"
"ChegaComJhon",".gif","30","1,207"
"ChegaComJhon",".anim","26","0,095"
"ChegaComJhon",".shader","14","0,092"
"ChegaComJhon",".asset","7","0,073"
"ChegaComJhon",".unity","6","0,16"
"ChegaComJhon",".shadergraph","4","1,076"
"ChegaComJhon",".cginc","4","0,013"
"ChegaComJhon",".txt","4","0,005"
"ChegaComJhon",".controller","2","0,042"
"ChegaComJhon",".mat","2","0,006"
"ChegaComJhon",".inputactions","2","0,079"
"ChegaComJhon",".scenetemplate","1","3,76"
"ChegaComJhon",".rar","1","0,059"
"ChegaComJhon",".json","1","0,004"
"ChegaComJhon",".hlsl","1","0,006"
"ChegaComJhon",".ttf","1","0,334"
"BranchPedrao",".png","44","0,399"
"BranchPedrao",".gif","4","0,15"
"BranchPedrao",".unity","2","0,074"
"BranchPedrao",".asset","1","0,019"
