"Origin","Ext","Count","SizeMB"
"ColegaTeste",".asset","437","0,457"
"ColegaTeste",".png","80","2,093"
"ColegaTeste",".shader","14","0,095"
"ColegaTeste",".unity","9","11,245"
"ColegaTeste",".prefab","4","0,221"
"ColegaTeste",".shadergraph","4","1,121"
"ColegaTeste",".cginc","4","0,014"
"ColegaTeste",".mat","2","0,006"
"ColegaTeste",".txt","2","0,004"
"ColegaTeste",".lighting","1","0,002"
"ColegaTeste",".json","1","0,004"
"ColegaTeste",".jpg","1","0,071"
"ColegaTeste",".scenetemplate","1","3,76"
"ColegaTeste",".hlsl","1","0,006"
"ChegaComJhon",".asset","7","2,214"
"ChegaComJhon",".png","6","2,432"
"ChegaComJhon",".anim","4","0,022"
"ChegaComJhon",".unity","4","0,122"
"ChegaComJhon",".md","1","0,001"
"ChegaComJhon",".controller","1","0,029"
"ChegaComJhon",".prefab","1","0,006"
"BranchPedrao",".png","276","2,265"
"BranchPedrao",".anim","29","0,11"
"BranchPedrao",".gif","26","1,056"
"BranchPedrao",".shader","14","0,092"
"BranchPedrao",".asset","10","2,259"
"BranchPedrao",".unity","8","0,194"
"BranchPedrao",".txt","4","0,005"
"BranchPedrao",".cginc","4","0,013"
"BranchPedrao",".shadergraph","4","1,076"
"BranchPedrao",".controller","3","0,063"
"BranchPedrao",".inputactions","2","0,079"
"BranchPedrao",".mat","2","0,006"
"BranchPedrao",".json","1","0,004"
"BranchPedrao",".ttf","1","0,334"
"BranchPedrao",".rar","1","0,059"
"BranchPedrao",".hlsl","1","0,006"
"BranchPedrao",".scenetemplate","1","3,76"
